recnr,lastname,origin,source
59,Seye,yoruba,https://www.names.org/lists/by-origin/yoruba/
60,Armani,english,https://www.names.org/lists/by-origin/english/
61,Onaga,swahili ,https://www.names.org/lists/by-origin/swahili/
62,Sola,african,https://www.names.org/lists/by-origin/african/
63,Callum,english,https://www.names.org/lists/by-origin/english/
64,Kelly,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
65,Irankunda,swahili ,https://www.names.org/lists/by-origin/swahili/
66,Osadebe,igbo,https://www.names.org/lists/by-origin/igbo/
67,Salako,yoruba,https://www.names.org/lists/by-origin/yoruba/
68,Onizuka,african,https://www.names.org/lists/by-origin/african/
69,Dweh,african,https://www.names.org/lists/by-origin/african/
70,Desronvil,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
71,Taye,yoruba,https://www.names.org/lists/by-origin/yoruba/
72,Haile,african-american,https://www.names.org/lists/by-origin/african/
73,Mekonnen,amharic,https://www.names.org/lists/by-origin/amharic/
74,Oday,arabic,https://www.names.org/lists/by-origin/arabic/
75,Samia,arabic,https://www.names.org/lists/by-origin/arabic/
76,Nati,amharic,https://www.names.org/lists/by-origin/amharic/
77,Sade,african,https://www.names.org/lists/by-origin/african/
78,White,english,https://www.names.org/lists/by-origin/english/
79,Owen,english,https://www.names.org/lists/by-origin/english/
80,Messi,swahili ,https://www.names.org/lists/by-origin/swahili/
81,Willem,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
82,Okoye,african,https://www.names.org/lists/by-origin/african/
83,Bassa,yoruba,https://www.names.org/lists/by-origin/yoruba/
84,Daramola,yoruba,https://www.names.org/lists/by-origin/yoruba/
85,Milane,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
86,Wernich,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
87,Abay,amharic,https://www.names.org/lists/by-origin/amharic/
88,Zayden,english,https://www.names.org/lists/by-origin/english/
89,Sucre,yoruba,https://www.names.org/lists/by-origin/yoruba/
90,Logan,english,https://www.names.org/lists/by-origin/english/
91,Amen,amharic,https://www.names.org/lists/by-origin/amharic/
92,Darboe,african,https://www.names.org/lists/by-origin/african/
93,Black,african-american,https://www.names.org/lists/by-origin/african/
94,Chigbo,igbo,https://www.names.org/lists/by-origin/igbo/
95,Tedla,amharic,https://www.names.org/lists/by-origin/amharic/
96,Mazen,arabic,https://www.names.org/lists/by-origin/arabic/
97,Tona,yoruba,https://www.names.org/lists/by-origin/yoruba/
98,Kiyan,arabic,https://www.names.org/lists/by-origin/arabic/
99,Oladapo,yoruba,https://www.names.org/lists/by-origin/yoruba/
100,Ngwa,african,https://www.names.org/lists/by-origin/african/
101,Zula,swahili ,https://www.names.org/lists/by-origin/swahili/
102,Hattingh,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
103,Diggs,african-american,https://www.names.org/lists/by-origin/african/
104,Sallay,african,https://www.names.org/lists/by-origin/african/
105,Leano,african,https://www.names.org/lists/by-origin/african/
106,Jasmin,arabic,https://www.names.org/lists/by-origin/arabic/
107,Aker,african-american,https://www.names.org/lists/by-origin/african/
108,Didia,igbo,https://www.names.org/lists/by-origin/igbo/
109,Idowu,yoruba,https://www.names.org/lists/by-origin/yoruba/
110,Orji,igbo,https://www.names.org/lists/by-origin/igbo/
111,Kallon,african,https://www.names.org/lists/by-origin/african/
112,Nwokolo,igbo,https://www.names.org/lists/by-origin/igbo/
113,Passant,african,https://www.names.org/lists/by-origin/african/
114,Yimer,amharic,https://www.names.org/lists/by-origin/amharic/
115,Ekpenyong,igbo,https://www.names.org/lists/by-origin/igbo/
116,Conwill,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
117,Charelle,arabic,https://www.names.org/lists/by-origin/arabic/
118,Starr,igbo,https://www.names.org/lists/by-origin/igbo/
119,Ajani,english,https://www.names.org/lists/by-origin/english/
120,Ofili,igbo,https://www.names.org/lists/by-origin/igbo/
121,Bobola,yoruba,https://www.names.org/lists/by-origin/yoruba/
122,Divine,swahili ,https://www.names.org/lists/by-origin/swahili/
123,Syra,arabic,https://www.names.org/lists/by-origin/arabic/
124,Lone,xhosa,https://www.names.org/lists/by-origin/xhosa/
125,Lazo,arabic,https://www.names.org/lists/by-origin/arabic/
126,Baldeh,african,https://www.names.org/lists/by-origin/african/
127,Olaleye,yoruba,https://www.names.org/lists/by-origin/yoruba/
128,Jegede,yoruba,https://www.names.org/lists/by-origin/yoruba/
129,Massaquoi,african,https://www.names.org/lists/by-origin/african/
130,Tambwe,swahili ,https://www.names.org/lists/by-origin/swahili/
131,Shima,igbo,https://www.names.org/lists/by-origin/igbo/
132,Sakaria,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
133,Edeh,igbo,https://www.names.org/lists/by-origin/igbo/
134,Brandon,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
135,Salmi,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
136,Seni,yoruba,https://www.names.org/lists/by-origin/yoruba/
137,Anzel,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
138,Waziri,igbo,https://www.names.org/lists/by-origin/igbo/
139,Fall,african-american,https://www.names.org/lists/by-origin/african/
140,Samaroo,english,https://www.names.org/lists/by-origin/english/
141,Ornella,swahili ,https://www.names.org/lists/by-origin/swahili/
142,Kennedy,english,https://www.names.org/lists/by-origin/english/
143,Petrus,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
144,Mazi,igbo,https://www.names.org/lists/by-origin/igbo/
145,Issa,arabic,https://www.names.org/lists/by-origin/arabic/
146,Adewumi,yoruba,https://www.names.org/lists/by-origin/yoruba/
147,Ola,yoruba,https://www.names.org/lists/by-origin/yoruba/
148,Osigwe,igbo,https://www.names.org/lists/by-origin/igbo/
149,Morani,swahili ,https://www.names.org/lists/by-origin/swahili/
150,Thandi,xhosa,https://www.names.org/lists/by-origin/xhosa/
151,Andre,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
152,Hailemichael,amharic,https://www.names.org/lists/by-origin/amharic/
153,Ayinde,yoruba,https://www.names.org/lists/by-origin/yoruba/
154,Meshack,swahili ,https://www.names.org/lists/by-origin/swahili/
155,Laven,arabic,https://www.names.org/lists/by-origin/arabic/
156,Mapalo,xhosa,https://www.names.org/lists/by-origin/xhosa/
157,Ojo,yoruba,https://www.names.org/lists/by-origin/yoruba/
158,Orfila,african,https://www.names.org/lists/by-origin/african/
159,Chigo,igbo,https://www.names.org/lists/by-origin/igbo/
160,Soco,african,https://www.names.org/lists/by-origin/african/
161,Plis,arabic,https://www.names.org/lists/by-origin/arabic/
162,Akiya,amharic,https://www.names.org/lists/by-origin/amharic/
163,Uwakwe,igbo,https://www.names.org/lists/by-origin/igbo/
164,Andell,english,https://www.names.org/lists/by-origin/english/
165,Greeff,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
166,Given,african-american,https://www.names.org/lists/by-origin/african/
167,Ayana,swahili ,https://www.names.org/lists/by-origin/swahili/
168,Desola,yoruba,https://www.names.org/lists/by-origin/yoruba/
169,Hemen,african,https://www.names.org/lists/by-origin/african/
170,Cody,english,https://www.names.org/lists/by-origin/english/
171,Arlia,english,https://www.names.org/lists/by-origin/english/
172,Dayo,yoruba,https://www.names.org/lists/by-origin/yoruba/
173,Tade,yoruba,https://www.names.org/lists/by-origin/yoruba/
174,Kiros,amharic,https://www.names.org/lists/by-origin/amharic/
175,Mahmood,arabic,https://www.names.org/lists/by-origin/arabic/
176,Ibekwe,igbo,https://www.names.org/lists/by-origin/igbo/
177,Dully,swahili ,https://www.names.org/lists/by-origin/swahili/
178,Osman,arabic,https://www.names.org/lists/by-origin/arabic/
179,Bezuidenhout,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
180,Amadu,yoruba,https://www.names.org/lists/by-origin/yoruba/
181,Lare,arabic,https://www.names.org/lists/by-origin/arabic/
182,Afework,amharic,https://www.names.org/lists/by-origin/amharic/
183,Emony,swahili ,https://www.names.org/lists/by-origin/swahili/
184,Thompson,english,https://www.names.org/lists/by-origin/english/
185,Amari,african,https://www.names.org/lists/by-origin/african/
186,Olatunji,yoruba,https://www.names.org/lists/by-origin/yoruba/
187,Samper,amharic,https://www.names.org/lists/by-origin/amharic/
188,Vanwyk,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
189,Kiewiet,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
190,Gray,english,https://www.names.org/lists/by-origin/english/
191,Ganza,swahili ,https://www.names.org/lists/by-origin/swahili/
192,Dua,arabic,https://www.names.org/lists/by-origin/arabic/
193,Buttigieg,arabic,https://www.names.org/lists/by-origin/arabic/
194,Austin,english,https://www.names.org/lists/by-origin/english/
195,Hamant,english,https://www.names.org/lists/by-origin/english/
196,Savo,arabic,https://www.names.org/lists/by-origin/arabic/
197,Omar,arabic,https://www.names.org/lists/by-origin/arabic/
198,Terry,english,https://www.names.org/lists/by-origin/english/
199,Kees,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
200,Jama,african-american,https://www.names.org/lists/by-origin/african/
201,Wimpie,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
202,Naya,arabic,https://www.names.org/lists/by-origin/arabic/
203,Reed,english,https://www.names.org/lists/by-origin/english/
204,Stacy,english,https://www.names.org/lists/by-origin/english/
205,Lano,arabic,https://www.names.org/lists/by-origin/arabic/
206,Yonas,amharic,https://www.names.org/lists/by-origin/amharic/
207,Teto,xhosa,https://www.names.org/lists/by-origin/xhosa/
208,Hailey,english,https://www.names.org/lists/by-origin/english/
209,Burke,african,https://www.names.org/lists/by-origin/african/
210,Ike,igbo,https://www.names.org/lists/by-origin/igbo/
211,Askia,yoruba,https://www.names.org/lists/by-origin/yoruba/
212,Kiese,swahili ,https://www.names.org/lists/by-origin/swahili/
213,Alimi,yoruba,https://www.names.org/lists/by-origin/yoruba/
214,Pelser,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
215,Brino,swahili ,https://www.names.org/lists/by-origin/swahili/
216,Janco,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
217,Oniel,english,https://www.names.org/lists/by-origin/english/
218,Njoku,igbo,https://www.names.org/lists/by-origin/igbo/
219,Ruan,african-american,https://www.names.org/lists/by-origin/african/
220,Skye,english,https://www.names.org/lists/by-origin/english/
221,Ossai,igbo,https://www.names.org/lists/by-origin/igbo/
222,Emmanuel,african-american,https://www.names.org/lists/by-origin/african/
223,Blen,african,https://www.names.org/lists/by-origin/african/
224,Maya,amharic,https://www.names.org/lists/by-origin/amharic/
225,Macrina,swahili ,https://www.names.org/lists/by-origin/swahili/
226,May,english,https://www.names.org/lists/by-origin/english/
227,Ncube,xhosa,https://www.names.org/lists/by-origin/xhosa/
228,Lebbie,yoruba,https://www.names.org/lists/by-origin/yoruba/
229,Attie,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
230,Baker,english,https://www.names.org/lists/by-origin/english/
231,Kyle,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
232,Haron,amharic,https://www.names.org/lists/by-origin/amharic/
233,Songe,xhosa,https://www.names.org/lists/by-origin/xhosa/
234,Kiah,african,https://www.names.org/lists/by-origin/african/
235,Soliman,african-american,https://www.names.org/lists/by-origin/african/
236,Abebe,amharic,https://www.names.org/lists/by-origin/amharic/
237,Anderes,arabic,https://www.names.org/lists/by-origin/arabic/
238,Akinyemi,yoruba,https://www.names.org/lists/by-origin/yoruba/
239,Bruk,amharic,https://www.names.org/lists/by-origin/amharic/
240,Desmond,igbo,https://www.names.org/lists/by-origin/igbo/
241,Lindo,african-american,https://www.names.org/lists/by-origin/african/
242,Ryan,swahili ,https://www.names.org/lists/by-origin/swahili/
243,Bradley,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
244,Flomo,african,https://www.names.org/lists/by-origin/african/
245,Akinola,yoruba,https://www.names.org/lists/by-origin/yoruba/
246,Berhanu,amharic,https://www.names.org/lists/by-origin/amharic/
247,Mbugua,swahili ,https://www.names.org/lists/by-origin/swahili/
248,Macharia,swahili ,https://www.names.org/lists/by-origin/swahili/
249,Dumbuya,african,https://www.names.org/lists/by-origin/african/
250,Tesfa,amharic,https://www.names.org/lists/by-origin/amharic/
251,Zinzi,african,https://www.names.org/lists/by-origin/african/
252,Leane,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
253,Ashley,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
254,Sango,xhosa,https://www.names.org/lists/by-origin/xhosa/
255,Chanez,african,https://www.names.org/lists/by-origin/african/
256,Kayihura,swahili ,https://www.names.org/lists/by-origin/swahili/
257,Henry,english,https://www.names.org/lists/by-origin/english/
258,Kalonji,swahili ,https://www.names.org/lists/by-origin/swahili/
259,Nay,arabic,https://www.names.org/lists/by-origin/arabic/
260,Menzi,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
261,Helin,arabic,https://www.names.org/lists/by-origin/arabic/
262,Vura,xhosa,https://www.names.org/lists/by-origin/xhosa/
263,Abadir,amharic,https://www.names.org/lists/by-origin/amharic/
264,Soumah,african,https://www.names.org/lists/by-origin/african/
265,Kemokai,african,https://www.names.org/lists/by-origin/african/
266,Sarkodie,yoruba,https://www.names.org/lists/by-origin/yoruba/
267,Nur,arabic,https://www.names.org/lists/by-origin/arabic/
268,Bongo,xhosa,https://www.names.org/lists/by-origin/xhosa/
269,Longe,yoruba,https://www.names.org/lists/by-origin/yoruba/
270,Meraz,arabic,https://www.names.org/lists/by-origin/arabic/
271,Andries,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
272,Peret,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
273,Aymar,swahili ,https://www.names.org/lists/by-origin/swahili/
274,Lavin,arabic,https://www.names.org/lists/by-origin/arabic/
275,Tucker,english,https://www.names.org/lists/by-origin/english/
276,Dera,igbo,https://www.names.org/lists/by-origin/igbo/
277,Njie,african,https://www.names.org/lists/by-origin/african/
278,Amobi,igbo,https://www.names.org/lists/by-origin/igbo/
279,Adigun,yoruba,https://www.names.org/lists/by-origin/yoruba/
280,Amara,african,https://www.names.org/lists/by-origin/african/
281,Banda,african-american,https://www.names.org/lists/by-origin/african/
282,Haja,yoruba,https://www.names.org/lists/by-origin/yoruba/
283,Loyola,african-american,https://www.names.org/lists/by-origin/african/
284,Blessing,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
285,Gavin,english,https://www.names.org/lists/by-origin/english/
286,Gella,african,https://www.names.org/lists/by-origin/african/
287,Leandri,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
288,Seyoum,amharic,https://www.names.org/lists/by-origin/amharic/
289,Almodovar,arabic,https://www.names.org/lists/by-origin/arabic/
290,Alaba,yoruba,https://www.names.org/lists/by-origin/yoruba/
291,Adebiyi,yoruba,https://www.names.org/lists/by-origin/yoruba/
292,Blanding,african-american,https://www.names.org/lists/by-origin/african/
293,Koroma,yoruba,https://www.names.org/lists/by-origin/yoruba/
294,Robinson,english,https://www.names.org/lists/by-origin/english/
295,Sanyang,african,https://www.names.org/lists/by-origin/african/
296,Kissi,yoruba,https://www.names.org/lists/by-origin/yoruba/
297,Noon,arabic,https://www.names.org/lists/by-origin/arabic/
298,Tadesse,amharic,https://www.names.org/lists/by-origin/amharic/
299,Tessema,amharic,https://www.names.org/lists/by-origin/amharic/
300,Meley,amharic,https://www.names.org/lists/by-origin/amharic/
301,Ibrahim,arabic,https://www.names.org/lists/by-origin/arabic/
302,Trawally,african,https://www.names.org/lists/by-origin/african/
303,Shiferaw,amharic,https://www.names.org/lists/by-origin/amharic/
304,Charmant,swahili ,https://www.names.org/lists/by-origin/swahili/
305,Tribe,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
306,Similo,xhosa,https://www.names.org/lists/by-origin/xhosa/
307,Yassine,african,https://www.names.org/lists/by-origin/african/
308,Wian,african,https://www.names.org/lists/by-origin/african/
309,Armah,yoruba,https://www.names.org/lists/by-origin/yoruba/
310,Togba,african,https://www.names.org/lists/by-origin/african/
311,Mayar,arabic,https://www.names.org/lists/by-origin/arabic/
312,Cole,english,https://www.names.org/lists/by-origin/english/
313,Frane,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
314,Edom,amharic,https://www.names.org/lists/by-origin/amharic/
315,Motola,yoruba,https://www.names.org/lists/by-origin/yoruba/
316,Rua,arabic,https://www.names.org/lists/by-origin/arabic/
317,Zain,arabic,https://www.names.org/lists/by-origin/arabic/
318,Abel,amharic,https://www.names.org/lists/by-origin/amharic/
319,Laya,arabic,https://www.names.org/lists/by-origin/arabic/
320,Mayo,african-american,https://www.names.org/lists/by-origin/african/
321,Frans,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
322,Luze,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
323,Markon,amharic,https://www.names.org/lists/by-origin/amharic/
324,Isham,arabic,https://www.names.org/lists/by-origin/arabic/
325,Lulo,xhosa,https://www.names.org/lists/by-origin/xhosa/
326,Kasongo,xhosa,https://www.names.org/lists/by-origin/xhosa/
327,Nimely,yoruba,https://www.names.org/lists/by-origin/yoruba/
328,Landa,african-american,https://www.names.org/lists/by-origin/african/
329,Yambo,swahili ,https://www.names.org/lists/by-origin/swahili/
330,Funke,african-american,https://www.names.org/lists/by-origin/african/
331,Kotze,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
332,Yonke,xhosa,https://www.names.org/lists/by-origin/xhosa/
333,Okoroafor,igbo,https://www.names.org/lists/by-origin/igbo/
334,Bodette,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
335,Young,english,https://www.names.org/lists/by-origin/english/
336,Hodan,african,https://www.names.org/lists/by-origin/african/
337,Habib,arabic,https://www.names.org/lists/by-origin/arabic/
338,Abdirahman,african,https://www.names.org/lists/by-origin/african/
339,Canty,african-american,https://www.names.org/lists/by-origin/african/
340,Stevens,english,https://www.names.org/lists/by-origin/english/
341,Chirwa,xhosa,https://www.names.org/lists/by-origin/xhosa/
342,Jaap,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
343,Sahr,african,https://www.names.org/lists/by-origin/african/
344,Gashaw,amharic,https://www.names.org/lists/by-origin/amharic/
345,Maduna,xhosa,https://www.names.org/lists/by-origin/xhosa/
346,Hamilton,english,https://www.names.org/lists/by-origin/english/
347,Madala,xhosa,https://www.names.org/lists/by-origin/xhosa/
348,Laston,xhosa,https://www.names.org/lists/by-origin/xhosa/
349,Getachew,amharic,https://www.names.org/lists/by-origin/amharic/
350,Leem,arabic,https://www.names.org/lists/by-origin/arabic/
351,Dami,african,https://www.names.org/lists/by-origin/african/
352,Kion,swahili ,https://www.names.org/lists/by-origin/swahili/
353,Attah,igbo,https://www.names.org/lists/by-origin/igbo/
354,Chanda,xhosa,https://www.names.org/lists/by-origin/xhosa/
355,Wilson,english,https://www.names.org/lists/by-origin/english/
356,Baruti,swahili ,https://www.names.org/lists/by-origin/swahili/
357,Palmer,swahili ,https://www.names.org/lists/by-origin/swahili/
358,Jojo,african,https://www.names.org/lists/by-origin/african/
359,Bada,yoruba,https://www.names.org/lists/by-origin/yoruba/
360,Touray,african,https://www.names.org/lists/by-origin/african/
361,Kariuki,swahili ,https://www.names.org/lists/by-origin/swahili/
362,Atmar,arabic,https://www.names.org/lists/by-origin/arabic/
363,Didier,swahili ,https://www.names.org/lists/by-origin/swahili/
364,Negus,amharic,https://www.names.org/lists/by-origin/amharic/
365,Agbo,igbo,https://www.names.org/lists/by-origin/igbo/
366,Lail,arabic,https://www.names.org/lists/by-origin/arabic/
367,Hossain,arabic,https://www.names.org/lists/by-origin/arabic/
368,Lee,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
369,Jones,english,https://www.names.org/lists/by-origin/english/
370,Mustafa,arabic,https://www.names.org/lists/by-origin/arabic/
371,Tefera,amharic,https://www.names.org/lists/by-origin/amharic/
372,Onele,xhosa,https://www.names.org/lists/by-origin/xhosa/
373,Wainaina,swahili ,https://www.names.org/lists/by-origin/swahili/
374,Borbor,yoruba,https://www.names.org/lists/by-origin/yoruba/
375,Bartone,arabic,https://www.names.org/lists/by-origin/arabic/
376,Dulcio,xhosa,https://www.names.org/lists/by-origin/xhosa/
377,Mitchell,english,https://www.names.org/lists/by-origin/english/
378,Titus,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
379,Mauritz,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
380,Sipho,xhosa,https://www.names.org/lists/by-origin/xhosa/
381,Bola,yoruba,https://www.names.org/lists/by-origin/yoruba/
382,Imbo,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
383,Zimba,xhosa,https://www.names.org/lists/by-origin/xhosa/
384,Avela,xhosa,https://www.names.org/lists/by-origin/xhosa/
385,Dandre,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
386,Nagbe,yoruba,https://www.names.org/lists/by-origin/yoruba/
387,Sando,yoruba,https://www.names.org/lists/by-origin/yoruba/
388,Genet,amharic,https://www.names.org/lists/by-origin/amharic/
389,Keith,english,https://www.names.org/lists/by-origin/english/
390,James,english,https://www.names.org/lists/by-origin/english/
391,Chase,english,https://www.names.org/lists/by-origin/english/
392,Shaw,english,https://www.names.org/lists/by-origin/english/
393,Blamo,yoruba,https://www.names.org/lists/by-origin/yoruba/
394,Odendaal,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
395,Tink,english,https://www.names.org/lists/by-origin/english/
396,Papay,african,https://www.names.org/lists/by-origin/african/
397,Brook,african-american,https://www.names.org/lists/by-origin/african/
398,Dingle,african-american,https://www.names.org/lists/by-origin/african/
399,Abbas,arabic,https://www.names.org/lists/by-origin/arabic/
400,Harper,english,https://www.names.org/lists/by-origin/english/
401,Ekechukwu,igbo,https://www.names.org/lists/by-origin/igbo/
402,Keina,swahili ,https://www.names.org/lists/by-origin/swahili/
403,Azama,xhosa,https://www.names.org/lists/by-origin/xhosa/
404,Modise,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
405,Bruck,african-american,https://www.names.org/lists/by-origin/african/
406,Bright,swahili ,https://www.names.org/lists/by-origin/swahili/
407,Havenga,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
408,Aland,arabic,https://www.names.org/lists/by-origin/arabic/
409,Barend,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
410,Sagor,arabic,https://www.names.org/lists/by-origin/arabic/
411,Kirsty,english,https://www.names.org/lists/by-origin/english/
412,Chisom,african,https://www.names.org/lists/by-origin/african/
413,Bobo,african-american,https://www.names.org/lists/by-origin/african/
414,Ogbonnaya,igbo,https://www.names.org/lists/by-origin/igbo/
415,Sibanda,african,https://www.names.org/lists/by-origin/african/
