recnr,firstname,sex,origin,source
69,Nuch,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
70,Nnaemeka,male,igbo,https://www.names.org/lists/by-origin/igbo/
71,Panga,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
72,Onke,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
73,Sihle,female,african,https://www.names.org/lists/by-origin/african/
74,Zohan,male,arabic,https://www.names.org/lists/by-origin/arabic/
75,Resty,female,swahili ,https://www.names.org/lists/by-origin/swahili/
76,Thiena,female,swahili ,https://www.names.org/lists/by-origin/swahili/
77,Kaya,female,african,https://www.names.org/lists/by-origin/african/
78,Nadia,female,arabic,https://www.names.org/lists/by-origin/arabic/
79,Julian,male,english,https://www.names.org/lists/by-origin/english/
80,Gizo,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
81,Okasha,male,arabic,https://www.names.org/lists/by-origin/arabic/
82,Ngobi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
83,Hilma,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
84,Riziki,female,swahili ,https://www.names.org/lists/by-origin/swahili/
85,Chama,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
86,Jamlick,male,swahili ,https://www.names.org/lists/by-origin/swahili/
87,Aynalem,male,amharic,https://www.names.org/lists/by-origin/amharic/
88,Osinachi,male,african,https://www.names.org/lists/by-origin/african/
89,Sakani,male,african,https://www.names.org/lists/by-origin/african/
90,Wani,female,amharic,https://www.names.org/lists/by-origin/amharic/
91,Mursal,female,arabic,https://www.names.org/lists/by-origin/arabic/
92,Fyness,female,swahili ,https://www.names.org/lists/by-origin/swahili/
93,Moyo,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
94,Diane,female,english,https://www.names.org/lists/by-origin/english/
95,Latosha,female,african,https://www.names.org/lists/by-origin/african/
96,Kobimtochukwu,male,igbo,https://www.names.org/lists/by-origin/igbo/
97,Fartun,female,arabic,https://www.names.org/lists/by-origin/arabic/
98,Oluwadara,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
99,Eva,female,english,https://www.names.org/lists/by-origin/english/
100,Imanie,female,swahili ,https://www.names.org/lists/by-origin/swahili/
101,Russell,male,english,https://www.names.org/lists/by-origin/english/
102,Abdihafid,male,arabic,https://www.names.org/lists/by-origin/arabic/
103,Hunadi,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
104,Luca,male,english,https://www.names.org/lists/by-origin/english/
105,Tereka,female,amharic,https://www.names.org/lists/by-origin/amharic/
106,Mya,female,english,https://www.names.org/lists/by-origin/english/
107,Inga,female,african,https://www.names.org/lists/by-origin/african/
108,Kiamy,female,african,https://www.names.org/lists/by-origin/african/
109,Mwezi ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
110,Tinashe,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
111,Hussein,male,arabic,https://www.names.org/lists/by-origin/arabic/
112,Bola,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
113,Blane,male,african-american,https://www.names.org/lists/by-origin/african/
114,Grace,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
115,Lati,male,arabic,https://www.names.org/lists/by-origin/arabic/
116,Keston,male,english,https://www.names.org/lists/by-origin/english/
117,Rikus,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
118,Tola,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
119,Kibrom,male,amharic,https://www.names.org/lists/by-origin/amharic/
120,Fiina,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
121,Abby,female,english,https://www.names.org/lists/by-origin/english/
122,Abdishakur,male,arabic,https://www.names.org/lists/by-origin/arabic/
123,Sanelisiwe,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
124,Ariam,male,african,https://www.names.org/lists/by-origin/african/
125,Melkam,female,amharic,https://www.names.org/lists/by-origin/amharic/
126,Nebeyu,male,amharic,https://www.names.org/lists/by-origin/amharic/
127,Dagne,female,amharic,https://www.names.org/lists/by-origin/amharic/
128,Yolani,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
129,Shalaw,male,arabic,https://www.names.org/lists/by-origin/arabic/
130,Khabib,male,arabic,https://www.names.org/lists/by-origin/arabic/
131,Nanga,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
132,Amara,female,african,https://www.names.org/lists/by-origin/african/
133,Pemba ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
134,Kaza,male,african,https://www.names.org/lists/by-origin/african/
135,Sume,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
136,Maraki,female,amharic,https://www.names.org/lists/by-origin/amharic/
137,Meela,female,arabic,https://www.names.org/lists/by-origin/arabic/
138,Nagbe,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
139,Shahtaj,male,arabic,https://www.names.org/lists/by-origin/arabic/
140,Omolola,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
141,Ramses,male,african-american,https://www.names.org/lists/by-origin/african/
142,Marelie,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
143,Semhal,female,amharic,https://www.names.org/lists/by-origin/amharic/
144,Razan,female,amharic,https://www.names.org/lists/by-origin/amharic/
145,Hanlie,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
146,Natay,male,amharic,https://www.names.org/lists/by-origin/amharic/
147,Betselot,female,amharic,https://www.names.org/lists/by-origin/amharic/
148,Mwaba,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
149,Kirubel,male,african,https://www.names.org/lists/by-origin/african/
150,Nkechi,female,igbo,https://www.names.org/lists/by-origin/igbo/
151,Mauritz,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
152,Wema ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
153,Bryan,male,english,https://www.names.org/lists/by-origin/english/
154,Kerry,male,english,https://www.names.org/lists/by-origin/english/
155,Malaika ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
156,Chinemerem,male,igbo,https://www.names.org/lists/by-origin/igbo/
157,Esmatullah,male,arabic,https://www.names.org/lists/by-origin/arabic/
158,Chinonye,female,igbo,https://www.names.org/lists/by-origin/igbo/
159,Henos,male,amharic,https://www.names.org/lists/by-origin/amharic/
160,Femi,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
161,Bahari,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
162,Pasha ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
163,Afeni,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
164,Marthinus,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
165,Akiya,female,amharic,https://www.names.org/lists/by-origin/amharic/
166,Keith,male,english,https://www.names.org/lists/by-origin/english/
167,Kamaria,female,swahili ,https://www.names.org/lists/by-origin/swahili/
168,Abiola,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
169,Jelani,female,swahili ,https://www.names.org/lists/by-origin/swahili/
170,Zy,female,african,https://www.names.org/lists/by-origin/african/
171,William,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
172,Bakari,male,swahili ,https://www.names.org/lists/by-origin/swahili/
173,Damilola,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
174,Luhana,female,african,https://www.names.org/lists/by-origin/african/
175,Bisrat,male,amharic,https://www.names.org/lists/by-origin/amharic/
176,Rema,female,igbo,https://www.names.org/lists/by-origin/igbo/
177,Wilna,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
178,Chikamara,female,igbo,https://www.names.org/lists/by-origin/igbo/
179,Ivory,female,african,https://www.names.org/lists/by-origin/african/
180,Popo,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
181,Jesse,male,english,https://www.names.org/lists/by-origin/english/
182,Ijoma,female,igbo,https://www.names.org/lists/by-origin/igbo/
183,Ngoma ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
184,Selam,female,amharic,https://www.names.org/lists/by-origin/amharic/
185,Aizal,female,arabic,https://www.names.org/lists/by-origin/arabic/
186,Eupe,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
187,Emboya,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
188,Tanasha,female,swahili ,https://www.names.org/lists/by-origin/swahili/
189,Ketsia,female,african,https://www.names.org/lists/by-origin/african/
190,Najuma,female,swahili ,https://www.names.org/lists/by-origin/swahili/
191,Sucre,male,igbo,https://www.names.org/lists/by-origin/igbo/
192,Elanda,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
193,Tijani,male,african,https://www.names.org/lists/by-origin/african/
194,Makiba,female,amharic,https://www.names.org/lists/by-origin/amharic/
195,Adunni,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
196,Mazen,male,arabic,https://www.names.org/lists/by-origin/arabic/
197,Kenneth,male,english,https://www.names.org/lists/by-origin/english/
198,Letso,female,african,https://www.names.org/lists/by-origin/african/
199,Ayzal,female,arabic,https://www.names.org/lists/by-origin/arabic/
200,Badmus,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
201,Lwanga,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
202,Chane ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
203,Ayomikun,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
204,Yola,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
205,Nyasha,female,african,https://www.names.org/lists/by-origin/african/
206,Hycent,female,igbo,https://www.names.org/lists/by-origin/igbo/
207,Zimal,female,arabic,https://www.names.org/lists/by-origin/arabic/
208,Seyoum,male,amharic,https://www.names.org/lists/by-origin/amharic/
209,Nkiru,female,igbo,https://www.names.org/lists/by-origin/igbo/
210,Uche,male,igbo,https://www.names.org/lists/by-origin/igbo/
211,Fanie,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
212,Sarem,female,amharic,https://www.names.org/lists/by-origin/amharic/
213,Tyrin,male,african-american,https://www.names.org/lists/by-origin/african/
214,Ornella,female,swahili ,https://www.names.org/lists/by-origin/swahili/
215,Fanus,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
216,Yonael,male,african,https://www.names.org/lists/by-origin/african/
217,Sonte,female,amharic,https://www.names.org/lists/by-origin/amharic/
218,Jaliya,female,swahili ,https://www.names.org/lists/by-origin/swahili/
219,Imara,female,swahili ,https://www.names.org/lists/by-origin/swahili/
220,Demilade,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
221,Irakoze,female,swahili ,https://www.names.org/lists/by-origin/swahili/
222,Tjaart,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
223,Suheyb,male,arabic,https://www.names.org/lists/by-origin/arabic/
224,Chamvi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
225,Promise,female,african,https://www.names.org/lists/by-origin/african/
226,Cheshi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
227,Phebean,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
228,Adanna,female,igbo,https://www.names.org/lists/by-origin/igbo/
229,Ima,female,african,https://www.names.org/lists/by-origin/african/
230,Everette,male,african-american,https://www.names.org/lists/by-origin/african/
231,Meklit,female,amharic,https://www.names.org/lists/by-origin/amharic/
232,Oluwadamilare,male,african,https://www.names.org/lists/by-origin/african/
233,Boimah,male,african,https://www.names.org/lists/by-origin/african/
234,Simphiwe,male,african,https://www.names.org/lists/by-origin/african/
235,Afamefuna,female,igbo,https://www.names.org/lists/by-origin/igbo/
236,Bassey,female,african,https://www.names.org/lists/by-origin/african/
237,Siyan,male,arabic,https://www.names.org/lists/by-origin/arabic/
238,Ezinne,female,igbo,https://www.names.org/lists/by-origin/igbo/
239,Safiri,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
240,Abdirizak,male,arabic,https://www.names.org/lists/by-origin/arabic/
241,Tomi,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
242,Utamu,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
243,Ariel,male,english,https://www.names.org/lists/by-origin/english/
244,Lindi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
245,Anri,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
246,Shatina,female,swahili ,https://www.names.org/lists/by-origin/swahili/
247,Bidii ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
248,Brandon,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
249,Adelphine,female,swahili ,https://www.names.org/lists/by-origin/swahili/
250,Vianney,female,swahili ,https://www.names.org/lists/by-origin/swahili/
251,Vondella,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
252,Irin,male,arabic,https://www.names.org/lists/by-origin/arabic/
253,Zya,female,african,https://www.names.org/lists/by-origin/african/
254,Obuya,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
255,Nafasi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
256,Taj,male,arabic,https://www.names.org/lists/by-origin/arabic/
257,Eyoel,male,african,https://www.names.org/lists/by-origin/african/
258,Saikou,male,african,https://www.names.org/lists/by-origin/african/
259,Khanya,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
260,Muhammad,male,arabic,https://www.names.org/lists/by-origin/arabic/
261,Yusupha,male,african,https://www.names.org/lists/by-origin/african/
262,Tahiya ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
263,Mulugeta,male,amharic,https://www.names.org/lists/by-origin/amharic/
264,Kate,female,english,https://www.names.org/lists/by-origin/english/
265,Tewodros,male,african,https://www.names.org/lists/by-origin/african/
266,Anselem,male,igbo,https://www.names.org/lists/by-origin/igbo/
267,Bahja,female,arabic,https://www.names.org/lists/by-origin/arabic/
268,Mathys,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
269,Oluwapelumi,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
270,Lulu,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
271,Deshawn,male,african-american,https://www.names.org/lists/by-origin/african/
272,Charlie,male,english,https://www.names.org/lists/by-origin/english/
273,Ndidi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
274,Makena,female,african,https://www.names.org/lists/by-origin/african/
275,Abdisamad,male,arabic,https://www.names.org/lists/by-origin/arabic/
276,Afomia,female,african,https://www.names.org/lists/by-origin/african/
277,Helvi,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
278,Albert,male,english,https://www.names.org/lists/by-origin/english/
279,Bokang,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
280,Arefa,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
281,Sabastine,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
282,Ire,male,african,https://www.names.org/lists/by-origin/african/
283,Ebeshi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
284,Alno,male,swahili ,https://www.names.org/lists/by-origin/swahili/
285,Madini,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
286,Henock,male,amharic,https://www.names.org/lists/by-origin/amharic/
287,Nzuri,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
288,Ilet,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
289,Hamisi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
290,Elijah,male,english,https://www.names.org/lists/by-origin/english/
291,Chaltu,female,amharic,https://www.names.org/lists/by-origin/amharic/
292,Fedha,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
293,Steven,male,english,https://www.names.org/lists/by-origin/english/
294,Uzima ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
295,Lubona,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
296,Oussama,male,african,https://www.names.org/lists/by-origin/african/
297,Mary,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
298,Mirabel,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
299,Yemi,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
300,Wani,male,amharic,https://www.names.org/lists/by-origin/amharic/
301,Nafasi ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
302,Gisele,female,swahili ,https://www.names.org/lists/by-origin/swahili/
303,Chinemerem,female,igbo,https://www.names.org/lists/by-origin/igbo/
304,Chukwudi,male,igbo,https://www.names.org/lists/by-origin/igbo/
305,Sipan,male,arabic,https://www.names.org/lists/by-origin/arabic/
306,Bersabel,female,amharic,https://www.names.org/lists/by-origin/amharic/
307,Elimu,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
308,Olayinka ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
309,Prescovia,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
310,Oluwanifemi,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
311,Kadiatu,female,african,https://www.names.org/lists/by-origin/african/
312,Maebel,female,amharic,https://www.names.org/lists/by-origin/amharic/
313,Dina,female,arabic,https://www.names.org/lists/by-origin/arabic/
314,Keisha,female,swahili ,https://www.names.org/lists/by-origin/swahili/
315,Mavia,male,arabic,https://www.names.org/lists/by-origin/arabic/
316,Las,male,arabic,https://www.names.org/lists/by-origin/arabic/
317,Zyair,male,african-american,https://www.names.org/lists/by-origin/african/
318,Zurii,female,swahili ,https://www.names.org/lists/by-origin/swahili/
319,Thuli,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
320,Dozie,male,igbo,https://www.names.org/lists/by-origin/igbo/
321,Hasset,female,amharic,https://www.names.org/lists/by-origin/amharic/
322,Noran,male,swahili ,https://www.names.org/lists/by-origin/swahili/
323,Pombe,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
324,Eliezel,male,swahili ,https://www.names.org/lists/by-origin/swahili/
325,Shavonte,male,swahili ,https://www.names.org/lists/by-origin/swahili/
326,Foye,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
327,Tadisa,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
328,Zeane,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
329,Chukwuemeka,male,igbo,https://www.names.org/lists/by-origin/igbo/
330,Oluwatomiwa,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
331,Lakesha,female,african,https://www.names.org/lists/by-origin/african/
332,Oluwaseun,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
333,Anne,female,english,https://www.names.org/lists/by-origin/english/
334,Mekdes,female,amharic,https://www.names.org/lists/by-origin/amharic/
335,Nadira ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
336,Avela,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
337,Zandre,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
338,Ramani,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
339,Liam,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
340,Yohana,female,amharic,https://www.names.org/lists/by-origin/amharic/
341,Nkenge,female,swahili ,https://www.names.org/lists/by-origin/swahili/
342,Dania,female,arabic,https://www.names.org/lists/by-origin/arabic/
343,Rehema ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
344,Cronje,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
345,Hayu,male,amharic,https://www.names.org/lists/by-origin/amharic/
346,Lefa,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
347,Ithana,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
348,Radi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
349,Edissa,female,swahili ,https://www.names.org/lists/by-origin/swahili/
350,Shirley,female,english,https://www.names.org/lists/by-origin/english/
351,Sirine,female,african,https://www.names.org/lists/by-origin/african/
352,Jahari,male,swahili ,https://www.names.org/lists/by-origin/swahili/
353,Bavly,male,african,https://www.names.org/lists/by-origin/african/
354,Angel,female,english,https://www.names.org/lists/by-origin/english/
355,Mohamad,male,arabic,https://www.names.org/lists/by-origin/arabic/
356,Sive,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
357,Tayari,male,swahili ,https://www.names.org/lists/by-origin/swahili/
358,Pitso,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
359,Oluwatimileyin,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
360,Azama,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
361,Cossie,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
362,Sipho,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
363,Amone,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
364,Jeneba,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
365,Bethel,female,african,https://www.names.org/lists/by-origin/african/
366,Boog,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
367,Mapalo,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
368,Sussie,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
369,Rangi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
370,Mosi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
371,Adaora,female,igbo,https://www.names.org/lists/by-origin/igbo/
372,Natana ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
373,Tambwe,male,swahili ,https://www.names.org/lists/by-origin/swahili/
374,Imani,female,swahili ,https://www.names.org/lists/by-origin/swahili/
375,Lineo,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
376,Louis,male,english,https://www.names.org/lists/by-origin/english/
377,Ameer,male,arabic,https://www.names.org/lists/by-origin/arabic/
378,Edmilson,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
379,Ayzan,male,arabic,https://www.names.org/lists/by-origin/arabic/
380,Elri,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
381,Nkemjika,female,igbo,https://www.names.org/lists/by-origin/igbo/
382,Mathewos,male,amharic,https://www.names.org/lists/by-origin/amharic/
383,Vinolia,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
384,Feruz,male,amharic,https://www.names.org/lists/by-origin/amharic/
385,Wale,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
386,Tolani,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
